alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
15.0 2 3 0.004257238821809925 0.0004007705409262605 -0.030227012677068423 0.0036022219186418246 4.9289842182878045 0.051452526469768264 -9.93659602115228 0.44428060704561056 1.8911731749356018 0.021703645163555337 -2.5376570211149776 0.1876082132872536
0.0 2 4 0.014576057127724435 0.000958346746845279 -0.1957830162727023 0.009756166278253377 3.275850182997199 0.042092295158973315 -5.299646702461056 0.4004190483503428 1.000931285741143 0.010404225521513981 0.07189537554971809 0.09901887162387452
1.0 2 4 0.017278410746222453 0.0008755620466974223 -0.23097482075263184 0.008775129790997677 3.230584126998917 0.029033196215627118 -5.308158598411615 0.27530165666628864 0.9529870401853413 0.012087545403567322 0.31243953031867266 0.11453912032565898
2.0 2 4 0.01896388219549346 0.0011416365102820956 -0.2546530715532443 0.011385833134248851 3.1192944052342146 0.029748315675669268 -4.557212944669971 0.28257105508172153 0.9335771044551647 0.015474878479824736 0.3894496255714335 0.14650932982521067
3.0 2 4 0.01713029487242177 0.0008658374058608216 -0.24459586681002532 0.008683533524595586 3.099204195270159 0.03836504192987699 -3.627737218376538 0.3642510312548287 0.958506296509862 0.009475770753921108 0.6463703066366833 0.08989815602100357
4.0 2 4 0.014123260044691856 0.0006244480696485885 -0.21412062082995992 0.006236585299121297 3.357094724410146 0.03555800904236147 -4.5329003131917815 0.3357909327298217 1.1019495249561582 0.016145187243343097 0.14052667800644106 0.15294743630043128
5.0 2 4 0.012596643240011876 0.0005794366645267016 -0.18511862332250228 0.00595759450544144 3.6995399633575365 0.031405667324129326 -6.042507788126656 0.29672942300735883 1.2965004455063147 0.013670314595591131 -0.8001731780787603 0.12900953199722293
6.0 2 4 0.011108606720145657 0.0008592640649394165 -0.15131858309222854 0.00883925785589722 4.0009633895697565 0.02528532220099381 -7.4624235983433005 0.2394129560697907 1.425275924196681 0.013576809219787066 -1.3225015124373802 0.1293145536090796
7.0 2 4 0.008473404557184542 0.0009716058056270456 -0.11083937627032803 0.01006735824373301 4.168725792114708 0.054623541091362256 -7.992503584097451 0.5186658906997432 1.508924122974394 0.012716347382973512 -1.5485627895383471 0.12155581438696644
8.0 2 4 0.005256484390480978 0.0008704612007684924 -0.06944588063981548 0.00937671334977141 4.305561121235211 0.03934782740253463 -8.324500132018649 0.3767225920556577 1.590027076044899 0.011676797578469844 -1.8433683484396453 0.11162876138221682
9.0 2 4 0.003172984903690593 0.0006974330834054809 -0.041605945636383215 0.007610294936395879 4.401687395858748 0.034204168050134626 -8.637666679332241 0.32518142129754884 1.6467964608526557 0.00819348875719043 -2.072720226291572 0.07836777706065595
10.0 2 4 0.004569845399210928 0.000658887569594324 -0.05079188803836127 0.006435498904219766 4.469529085286266 0.014551658876136658 -8.71066605247788 0.13011261273380437 1.6886273130478648 0.006491067441582499 -2.179260559187714 0.058107488745560765
11.0 2 4 0.003035628669044652 0.0005608148232390943 -0.03228291885882223 0.0055683342440596565 4.500760419350325 0.024971545977772368 -8.549928133146112 0.22193897392899903 1.7092108275797901 0.0058443576745946515 -2.148980428098996 0.052025775821009
12.0 2 4 0.002399196584157468 0.0005737794840453334 -0.022177415726736278 0.00536213592091675 4.561834588113521 0.03279265314625482 -8.775112887038095 0.2936765368480406 1.746613981211042 0.0077185460746716705 -2.3020228237183646 0.06916719253559121
13.0 2 4 0.0026553825246009065 0.0003094542936897157 -0.022639106703049847 0.0027460471945983424 4.629088914316593 0.015289989237572093 -9.05309959396028 0.13133425623643682 1.758855391764295 0.012288758915654844 -2.2678558947400527 0.1055559983110768
14.0 2 4 0.0018681470024961128 0.00033695250669117877 -0.012890642309163534 0.003073225133106531 4.663331511089991 0.03719725924769058 -9.129376909322492 0.3215630310170948 1.7939816742919568 0.017684473211431673 -2.453677072357753 0.15291492945153082
15.0 2 4 0.0022268712983317908 0.00030507289490936795 -0.013949592019717646 0.002728024420689498 4.656064481336828 0.04057631194488379 -8.836063077339356 0.3506046080622778 1.782013657471642 0.01251432872549987 -2.235635349018187 0.10821249709206539
